Timeline Trace
Generated on: 2021-06-19 17:11:06
Msec since Epoch: 1624093866093
Profiled application: pma
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-24 20:05:16


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
5.987701,clGetPlatformIDs|General,START,,,,,,,,,,,0,
6.016144,clGetPlatformIDs|General,END,,,,,,,,,,,0,
6.023753,clGetPlatformIDs|General,START,,,,,,,,,,,1,
6.028428,clGetPlatformIDs|General,END,,,,,,,,,,,1,
6.035456,clGetPlatformInfo|General,START,,,,,,,,,,,2,
6.040393,clGetPlatformInfo|General,END,,,,,,,,,,,2,
6.045122,clGetPlatformInfo|General,START,,,,,,,,,,,3,
6.049358,clGetPlatformInfo|General,END,,,,,,,,,,,3,
6.055308,clGetDeviceIDs|General,START,,,,,,,,,,,4,
6.061442,clGetDeviceIDs|General,END,,,,,,,,,,,4,
6.066204,clGetDeviceIDs|General,START,,,,,,,,,,,5,
6.070471,clGetDeviceIDs|General,END,,,,,,,,,,,5,
6.075251,clRetainDevice|General,START,,,,,,,,,,,6,
6.07977,clRetainDevice|General,END,,,,,,,,,,,6,
6.084307,clRetainDevice|General,START,,,,,,,,,,,7,
6.088298,clRetainDevice|General,END,,,,,,,,,,,7,
6.09238,clCreateContext|General,START,,,,,,,,,,,8,
6.101094,clCreateContext|General,END,,,,,,,,,,,8,
6.105386,clCreateCommandQueue|General,START,,,,,,,,,,,9,
6.116842,clCreateCommandQueue|General,END,,,,,,,,,,,9,
7.182168,clCreateProgramWithBinary|General,START,,,,,,,,,,,10,
36.022418,clCreateProgramWithBinary|General,END,,,,,,,,,,,10,
36.05736,clCreateKernel|General,START,,,,,,,,,,,11,
36.623588,clCreateKernel|General,END,,,,,,,,,,,11,
36.631248,clCreateKernel|General,START,,,,,,,,,,,12,
37.14769,clCreateKernel|General,END,,,,,,,,,,,12,
37.153461,clCreateKernel|General,START,,,,,,,,,,,13,
37.669372,clCreateKernel|General,END,,,,,,,,,,,13,
37.674741,clCreateKernel|General,START,,,,,,,,,,,14,
38.193131,clCreateKernel|General,END,,,,,,,,,,,14,
124.934099,clCreateBuffer|General,START,,,,,,,,,,,15,
125.170875,clCreateBuffer|General,END,,,,,,,,,,,15,
125.180838,clEnqueueMapBuffer|94434247373152,START,,,,,,,,,,,16,
125.323839,clEnqueueMapBuffer|94434247373152,END,,,,,,,,,,,16,
928.343257,clCreateBuffer|General,START,,,,,,,,,,,17,
928.558143,clCreateBuffer|General,END,,,,,,,,,,,17,
928.567631,clCreateBuffer|General,START,,,,,,,,,,,18,
928.653602,clCreateBuffer|General,END,,,,,,,,,,,18,
928.659582,clCreateBuffer|General,START,,,,,,,,,,,19,
928.721795,clCreateBuffer|General,END,,,,,,,,,,,19,
928.72856,clEnqueueMapBuffer|94434247373152,START,,,,,,,,,,,20,
928.810091,clEnqueueMapBuffer|94434247373152,END,,,,,,,,,,,20,
952.870179,clEnqueueMapBuffer|94434247373152,START,,,,,,,,,,,21,
952.966281,clEnqueueMapBuffer|94434247373152,END,,,,,,,,,,,21,
957.666447,clEnqueueMapBuffer|94434247373152,START,,,,,,,,,,,22,
957.719289,clEnqueueMapBuffer|94434247373152,END,,,,,,,,,,,22,
958.685624,clRetainMemObject|General,START,,,,,,,,,,,23,
958.699351,clRetainMemObject|General,END,,,,,,,,,,,23,
958.70726,clRetainMemObject|General,START,,,,,,,,,,,24,
958.712146,clRetainMemObject|General,END,,,,,,,,,,,24,
958.71687,clRetainMemObject|General,START,,,,,,,,,,,25,
958.721416,clRetainMemObject|General,END,,,,,,,,,,,25,
958.725768,clRetainMemObject|General,START,,,,,,,,,,,26,
958.73021,clRetainMemObject|General,END,,,,,,,,,,,26,
958.73581,clRetainMemObject|General,START,,,,,,,,,,,27,
958.740523,clRetainMemObject|General,END,,,,,,,,,,,27,
958.744933,clRetainMemObject|General,START,,,,,,,,,,,28,
958.74934,clRetainMemObject|General,END,,,,,,,,,,,28,
958.753665,clRetainMemObject|General,START,,,,,,,,,,,29,
958.758005,clRetainMemObject|General,END,,,,,,,,,,,29,
958.762216,clRetainMemObject|General,START,,,,,,,,,,,30,
958.766867,clRetainMemObject|General,END,,,,,,,,,,,30,
958.773554,clEnqueueMigrateMemObjects|94434247373152,START,,,,,,,,,,,31,
958.792665,WRITE_BUFFER,QUEUE,0X0|Unknown-DDR[0],26301256,,,,,,,,,
958.809142,WRITE_BUFFER,SUBMIT,0X0|Unknown-DDR[0],26301256,,,,,,,,,
958.823829,clEnqueueMigrateMemObjects|94434247373152,END,,,,,,,,,,,31,
958.830649,clReleaseMemObject|General,START,,,,,,,,,,,32,
958.836705,clReleaseMemObject|General,END,,,,,,,,,,,32,
958.841287,clReleaseMemObject|General,START,,,,,,,,,,,33,
958.846081,clReleaseMemObject|General,END,,,,,,,,,,,33,
958.850614,clReleaseMemObject|General,START,,,,,,,,,,,34,
958.855327,clReleaseMemObject|General,END,,,,,,,,,,,34,
958.860073,clReleaseMemObject|General,START,,,,,,,,,,,35,
958.864984,clReleaseMemObject|General,END,,,,,,,,,,,35,
958.87077,clReleaseMemObject|General,START,,,,,,,,,,,36,
958.878096,clReleaseMemObject|General,END,,,,,,,,,,,36,
958.882963,clReleaseMemObject|General,START,,,,,,,,,,,37,
958.887489,clReleaseMemObject|General,END,,,,,,,,,,,37,
958.891816,clReleaseMemObject|General,START,,,,,,,,,,,38,
958.896461,clReleaseMemObject|General,END,,,,,,,,,,,38,
958.900723,clReleaseMemObject|General,START,,,,,,,,,,,39,
958.905121,clReleaseMemObject|General,END,,,,,,,,,,,39,
958.909656,clWaitForEvents|General,START,,,,,,,,,,,40,
958.947776,WRITE_BUFFER,START,0X0|Unknown-DDR[0]|0X7fc8ed3c1700,26301256,,,,,,,4,None,
1100.306227,WRITE_BUFFER,END,0X0|Unknown-DDR[0]|0X7fc8ed3c1700,26301256,,,,,,,4,None,
1100.433445,clWaitForEvents|General,END,,,,,,,,,,,40,
1100.498834,clSetKernelArg|General,START,,,,,,,,,,,41,
1100.53274,clSetKernelArg|General,END,,,,,,,,,,,41,
1100.547834,clSetKernelArg|General,START,,,,,,,,,,,42,
1100.563514,clSetKernelArg|General,END,,,,,,,,,,,42,
1100.576003,clSetKernelArg|General,START,,,,,,,,,,,43,
1100.592153,clSetKernelArg|General,END,,,,,,,,,,,43,
1100.604863,clSetKernelArg|General,START,,,,,,,,,,,44,
